27.10.2016;;30.09.2016;;07.09.2016;;;;;;;
;;;;;;;;;;;
rails/rails;168;rails/rails;168;rails/rails;168;1;I;rails/rails;168;>100;1
fog/fog;78;fog/fog;78;fog/fog;78;2;II;fog/fog;78;80-60;4
leereilly/swot;65;leereilly/swot;65;leereilly/swot;65;3;;leereilly/swot;65;;
rapid7/metasploit-framework;65;rapid7/metasploit-framework;65;rapid7/metasploit-framework;65;4;;rapid7/metasploit-framework;65;;
ruby/www.ruby-lang.org;62;ruby/www.ruby-lang.org;62;ruby/www.ruby-lang.org;62;5;;ruby/www.ruby-lang.org;62;;
puppetlabs/puppet;59;puppetlabs/puppet;59;puppetlabs/puppet;59;6;III;puppetlabs/puppet;59;60-40;9
spree/spree;59;spree/spree;59;spree/spree;59;7;;spree/spree;59;;
ManageIQ/manageiq;53;ManageIQ/manageiq;53;ManageIQ/manageiq;53;8;;ManageIQ/manageiq;53;;
cloudfoundry/cloud_controller_ng;50;cloudfoundry/cloud_controller_ng;50;cloudfoundry/cloud_controller_ng;50;9;;cloudfoundry/cloud_controller_ng;50;;
geoserver/geoserver;50;geoserver/geoserver;50;geoserver/geoserver;50;10;;geoserver/geoserver;50;;
mitchellh/vagrant;47;mitchellh/vagrant;47;mitchellh/vagrant;47;11;;mitchellh/vagrant;47;;
opf/openproject;44;opf/openproject;44;opf/openproject;44;12;;opf/openproject;44;;
puppetlabs/facter;44;puppetlabs/facter;44;puppetlabs/facter;44;13;;puppetlabs/facter;44;;
jruby/jruby;41;jruby/jruby;41;jruby/jruby;41;14;;jruby/jruby;41;;
Homebrew/homebrew-science;38;Homebrew/homebrew-science;38;Homebrew/homebrew-science;38;15;IV;Homebrew/homebrew-science;38;40-20;14
diaspora/diaspora;38;diaspora/diaspora;38;diaspora/diaspora;38;16;;diaspora/diaspora;38;;
github/developer.github.com;37;github/developer.github.com;37;github/developer.github.com;37;17;;rubinius/rubinius;36;;
sensu/sensu-community-plugins;37;sensu/sensu-community-plugins;37;sensu/sensu-community-plugins;37;18;;instructure/canvas-lms;36;;
instructure/canvas-lms;36;instructure/canvas-lms;36;instructure/canvas-lms;36;19;;DSpace/DSpace;32;;
rubinius/rubinius;36;rubinius/rubinius;36;rubinius/rubinius;36;20;;heroku/heroku;32;;
github/linguist;35;github/linguist;35;github/linguist;35;21;;progit/progit;28;;
DSpace/DSpace;32;DSpace/DSpace;32;DSpace/DSpace;32;22;;ruby/ruby;28;;
heroku/heroku;32;heroku/heroku;32;heroku/heroku;32;23;;SpongePowered/SpongeAPI;26;;
gradle/gradle;31;gradle/gradle;31;gradle/gradle;31;24;;projecthydra/sufia;26;;
thoughtbot/suspenders;29;thoughtbot/suspenders;29;thoughtbot/suspenders;29;25;;timmolter/XChange;24;;
zendesk/samson;29;zendesk/samson;29;zendesk/samson;29;26;;caelum/vraptor4;24;;
progit/progit;28;progit/progit;28;progit/progit;28;27;;Shopify/active_shipping;22;;
ruby/ruby;28;ruby/ruby;28;ruby/ruby;28;28;;openSUSE/open-build-service;22;;
thoughtbot/hound;28;thoughtbot/hound;28;thoughtbot/hound;28;29;V;mozilla/MozStumbler;20;20-0;22
broadinstitute/picard;27;broadinstitute/picard;27;broadinstitute/picard;27;30;;rspec/rspec-core;20;;
